le père, der Vater
Je cherche une robe de soirée.,Ich suche ein Partykleid.
Je fais du M.,Ich trage Größe M.
Je voudrais essayer cette robe.,Ich würde gern dieses Kleid anprobieren.
Je vais payer en espèces.,Ich werde in bar bezahlen
inoubliable, unvergesslich
Dépêche-toi!, Beeile dich!
un/une boss, un patron / une patronne
une deadline, une date butoir
un feedback, un retour
une update, une mise à jour
un meeting, une réunion
